Liters per Hour,Strainer Height,Day,Hour,Minutes,Seconds,Label
24,11,29/09/2016,16,32,48,0
8,13,29/09/2016,16,32,49,0
0,0,29/09/2016,17,7,2,0
0,11,29/09/2016,17,7,2,0
0,11,29/09/2016,17,7,3,0
0,12,29/09/2016,17,7,4,0
0,11,29/09/2016,17,7,5,0
0,12,29/09/2016,17,7,6,0
0,11,29/09/2016,17,7,7,0
0,10,29/09/2016,17,7,8,0
0,10,29/09/2016,17,7,9,0
16,9,29/09/2016,17,7,10,0
24,8,29/09/2016,17,7,11,0
32,8,29/09/2016,17,7,12,0
56,9,29/09/2016,17,7,13,0
56,7,29/09/2016,17,7,14,0
56,8,29/09/2016,17,7,15,0
56,7,29/09/2016,17,7,16,0
72,7,29/09/2016,17,7,17,0
64,7,29/09/2016,17,7,18,0
72,7,29/09/2016,17,7,19,0
64,8,29/09/2016,17,7,20,0
64,7,29/09/2016,17,7,21,0
64,10,29/09/2016,17,7,22,0
64,9,29/09/2016,17,7,23,0
64,7,29/09/2016,17,7,24,0
56,8,29/09/2016,17,7,25,0
72,8,29/09/2016,17,7,26,0
72,6,29/09/2016,17,7,27,0
80,7,29/09/2016,17,7,28,0
80,8,29/09/2016,17,7,29,0
80,7,29/09/2016,17,7,30,0
80,9,29/09/2016,17,7,31,0
80,7,29/09/2016,17,7,32,0
80,7,29/09/2016,17,7,33,0
80,7,29/09/2016,17,7,34,0
80,7,29/09/2016,17,7,35,0
80,7,29/09/2016,17,7,36,0
80,7,29/09/2016,17,7,37,0
72,7,29/09/2016,17,7,38,0
72,7,29/09/2016,17,7,39,0
72,7,29/09/2016,17,7,40,0
72,7,29/09/2016,17,7,41,0
64,7,29/09/2016,17,7,42,0
72,7,29/09/2016,17,7,43,0
72,7,29/09/2016,17,7,44,0
80,7,29/09/2016,17,7,45,0
80,7,29/09/2016,17,7,46,0
80,7,29/09/2016,17,7,47,0
80,7,29/09/2016,17,7,48,0
64,7,29/09/2016,17,7,49,0
72,6,29/09/2016,17,7,50,0
80,6,29/09/2016,17,7,51,0
80,7,29/09/2016,17,7,52,0
72,7,29/09/2016,17,7,53,0
80,6,29/09/2016,17,7,54,0
80,6,29/09/2016,17,7,55,0
80,7,29/09/2016,17,7,56,0
80,7,29/09/2016,17,7,57,0
72,7,29/09/2016,17,7,58,0
72,6,29/09/2016,17,7,59,0
72,7,29/09/2016,17,8,0,0
72,6,29/09/2016,17,8,1,0
80,6,29/09/2016,17,8,2,0
80,6,29/09/2016,17,8,3,0
88,6,29/09/2016,17,8,4,0
88,6,29/09/2016,17,8,5,0
88,6,29/09/2016,17,8,6,0
80,6,29/09/2016,17,8,7,0
80,9,29/09/2016,17,8,8,0
72,7,29/09/2016,17,8,9,0
72,8,29/09/2016,17,8,10,0
56,9,29/09/2016,17,8,11,0
40,10,29/09/2016,17,8,12,0
48,8,29/09/2016,17,8,13,0
56,7,29/09/2016,17,8,14,0
64,7,29/09/2016,17,8,15,0
56,9,29/09/2016,17,8,16,0
56,7,29/09/2016,17,8,17,0
72,8,29/09/2016,17,8,18,0
72,8,29/09/2016,17,8,19,0
80,6,29/09/2016,17,8,20,0
80,7,29/09/2016,17,8,21,0
88,6,29/09/2016,17,8,22,0
88,6,29/09/2016,17,8,23,0
88,7,29/09/2016,17,8,24,0
88,6,29/09/2016,17,8,25,0
80,8,29/09/2016,17,8,26,0
80,8,29/09/2016,17,8,27,0
88,7,29/09/2016,17,8,28,0
80,7,29/09/2016,17,8,29,0
88,8,29/09/2016,17,8,30,0
88,6,29/09/2016,17,8,31,0
96,6,29/09/2016,17,8,32,0
96,6,29/09/2016,17,8,33,0
88,6,29/09/2016,17,8,34,0
96,6,29/09/2016,17,8,35,0
96,7,29/09/2016,17,8,36,0
96,6,29/09/2016,17,8,37,0
96,7,29/09/2016,17,8,38,0
96,6,29/09/2016,17,8,39,0
88,7,29/09/2016,17,8,40,0
96,9,29/09/2016,17,8,41,0
88,6,29/09/2016,17,8,42,0
88,7,29/09/2016,17,8,43,0
88,6,29/09/2016,17,8,44,0
88,7,29/09/2016,17,8,45,0
96,6,29/09/2016,17,8,46,0
88,6,29/09/2016,17,8,47,0
96,6,29/09/2016,17,8,48,0
96,6,29/09/2016,17,8,49,0
96,6,29/09/2016,17,8,50,0
96,6,29/09/2016,17,8,51,0
88,7,29/09/2016,17,8,52,0
96,6,29/09/2016,17,8,53,0
88,6,29/09/2016,17,8,54,0
80,7,29/09/2016,17,8,55,0
88,6,29/09/2016,17,8,56,0
80,5,29/09/2016,17,8,57,0
96,6,29/09/2016,17,8,58,0
96,6,29/09/2016,17,8,59,0
96,6,29/09/2016,17,9,0,0
96,6,29/09/2016,17,9,1,0
96,6,29/09/2016,17,9,2,0
96,6,29/09/2016,17,9,3,0
96,9,29/09/2016,17,9,4,0
104,5,29/09/2016,17,9,5,0
96,5,29/09/2016,17,9,6,0
96,7,29/09/2016,17,9,7,0
104,9,29/09/2016,17,9,8,0
96,6,29/09/2016,17,9,9,0
80,7,29/09/2016,17,9,10,0
72,8,29/09/2016,17,9,11,0
56,8,29/09/2016,17,9,12,0
48,8,29/09/2016,17,9,13,0
56,8,29/09/2016,17,9,14,0
56,9,29/09/2016,17,9,15,0
56,7,29/09/2016,17,9,16,0
64,7,29/09/2016,17,9,17,0
72,8,29/09/2016,17,9,18,0
72,7,29/09/2016,17,9,19,0
72,7,29/09/2016,17,9,20,0
80,8,29/09/2016,17,9,21,0
88,6,29/09/2016,17,9,22,0
80,6,29/09/2016,17,9,23,0
80,6,29/09/2016,17,9,24,0
80,7,29/09/2016,17,9,25,0
80,6,29/09/2016,17,9,26,0
80,8,29/09/2016,17,9,27,0
80,7,29/09/2016,17,9,28,0
80,7,29/09/2016,17,9,29,0
88,6,29/09/2016,17,9,30,0
88,6,29/09/2016,17,9,31,0
88,9,29/09/2016,17,9,32,0
80,6,29/09/2016,17,9,33,0
88,12,29/09/2016,17,9,34,0
88,7,29/09/2016,17,9,35,0
88,6,29/09/2016,17,9,36,0
88,6,29/09/2016,17,9,37,0
88,7,29/09/2016,17,9,38,0
88,5,29/09/2016,17,9,39,0
96,6,29/09/2016,17,9,40,0
96,6,29/09/2016,17,9,41,0
96,6,29/09/2016,17,9,42,0
96,6,29/09/2016,17,9,43,0
96,6,29/09/2016,17,9,44,0
104,5,29/09/2016,17,9,45,0
104,5,29/09/2016,17,9,46,0
104,6,29/09/2016,17,9,47,0
104,5,29/09/2016,17,9,48,0
96,5,29/09/2016,17,9,49,0
104,8,29/09/2016,17,9,50,0
104,13,29/09/2016,17,9,51,0
104,6,29/09/2016,17,9,52,0
104,5,29/09/2016,17,9,53,0
96,6,29/09/2016,17,9,54,0
