104,6,29/09/2016,16,56,12,0
112,5,29/09/2016,16,56,13,0
96,6,29/09/2016,16,56,14,0
96,6,29/09/2016,16,56,15,0
88,6,29/09/2016,16,56,16,0
96,5,29/09/2016,16,56,17,0
88,6,29/09/2016,16,56,18,0
88,6,29/09/2016,16,56,19,0
88,7,29/09/2016,16,56,20,0
80,7,29/09/2016,16,56,21,0
72,6,29/09/2016,16,56,22,0
80,7,29/09/2016,16,56,23,0
88,6,29/09/2016,16,56,24,0
88,6,29/09/2016,16,56,25,0
88,6,29/09/2016,16,56,26,0
80,8,29/09/2016,16,56,27,0
72,7,29/09/2016,16,56,28,0
64,8,29/09/2016,16,56,29,0
48,9,29/09/2016,16,56,30,0
64,8,29/09/2016,16,56,31,0
88,5,29/09/2016,16,56,32,0
104,7,29/09/2016,16,56,33,0
128,3,29/09/2016,16,56,34,0
136,3,29/09/2016,16,56,35,0
128,4,29/09/2016,16,56,36,0
136,3,29/09/2016,16,56,37,0
136,3,29/09/2016,16,56,38,0
128,3,29/09/2016,16,56,39,0
128,5,29/09/2016,16,56,40,0
120,4,29/09/2016,16,56,41,0
120,5,29/09/2016,16,56,42,0
120,4,29/09/2016,16,56,43,0
120,7,29/09/2016,16,56,44,0
112,5,29/09/2016,16,56,45,0
104,5,29/09/2016,16,56,46,0
112,5,29/09/2016,16,56,47,0
96,5,29/09/2016,16,56,48,0
104,6,29/09/2016,16,56,49,0
96,6,29/09/2016,16,56,50,0
88,5,29/09/2016,16,56,51,0
96,5,29/09/2016,16,56,52,0
96,5,29/09/2016,16,56,53,0
96,6,29/09/2016,16,56,54,0
88,6,29/09/2016,16,56,55,0
96,6,29/09/2016,16,56,56,0
88,6,29/09/2016,16,56,57,0
88,7,29/09/2016,16,56,58,0
80,6,29/09/2016,16,56,59,0
72,7,29/09/2016,16,57,0,0
72,7,29/09/2016,16,57,1,0
80,7,29/09/2016,16,57,2,0
80,8,29/09/2016,16,57,3,0
72,6,29/09/2016,16,57,4,0
72,7,29/09/2016,16,57,5,0
80,7,29/09/2016,16,57,6,0
72,7,29/09/2016,16,57,7,0
72,7,29/09/2016,16,57,8,0
72,7,29/09/2016,16,57,9,0
72,7,29/09/2016,16,57,10,0
72,7,29/09/2016,16,57,11,0
72,7,29/09/2016,16,57,12,0
88,5,29/09/2016,16,57,13,0
96,6,29/09/2016,16,57,14,0
112,6,29/09/2016,16,57,15,0
96,7,29/09/2016,16,57,16,0
88,7,29/09/2016,16,57,17,0
72,7,29/09/2016,16,57,18,0
80,7,29/09/2016,16,57,19,0
72,7,29/09/2016,16,57,20,0
80,8,29/09/2016,16,57,21,0
64,8,29/09/2016,16,57,22,0
56,8,29/09/2016,16,57,23,0
40,9,29/09/2016,16,57,24,0
40,8,29/09/2016,16,57,25,0
40,9,29/09/2016,16,57,26,0
56,8,29/09/2016,16,57,27,0
48,9,29/09/2016,16,57,28,0
40,9,29/09/2016,16,57,29,0
24,10,29/09/2016,16,57,30,0
